t_seconds,rms,spectral_centroid_hz,spectral_spread_hz,spectral_rolloff_hz,spectral_flatness,zcr,peak_hz,frame_index,spectral_spread_khz
0.0,0.042268876,8183.443617545465,4901.888756857112,13218.75,0.14038686,0.1630859375,1851.5625,0,4.901888756857112
0.010666666666666666,0.040867105,8059.6246931604865,4856.933276826584,13078.125,0.117558196,0.23095703125,1851.5625,1,4.856933276826584
0.021333333333333333,0.03118538,7532.014963645281,4612.297116241315,12820.3125,0.04732319,0.30810546875,4593.75,2,4.612297116241315
0.032,0.024345966,7440.471701674827,4604.7309887466645,12468.75,0.03435878,0.29833984375,4593.75,3,4.604730988746664
0.042666666666666665,0.019658081,7646.506770257522,4531.007593043901,12468.75,0.02458542,0.2998046875,4546.875,4,4.531007593043901
0.05333333333333334,0.01610592,7777.000946576682,4487.8833548085395,12562.5,0.025328033,0.302734375,4570.3125,5,4.487883354808539
0.064,0.015238989,7765.335643843365,4511.31018578337,12632.8125,0.02211586,0.2861328125,4406.25,6,4.51131018578337
0.07466666666666667,0.01499533,7726.803713839261,4466.265075418398,12468.75,0.020061227,0.283203125,4406.25,7,4.466265075418398
0.08533333333333333,0.014055431,7694.528787169851,4550.881829289451,12632.8125,0.022867432,0.27294921875,4382.8125,8,4.550881829289451
0.096,0.014540953,7747.961008781891,4582.835906036432,12820.3125,0.02323701,0.26513671875,3843.75,9,4.582835906036432
0.10666666666666667,0.014985145,7674.2668493721185,4520.433430506817,12726.5625,0.021775581,0.27880859375,3867.1875,10,4.520433430506817
0.11733333333333333,0.013830817,7710.782027772154,4415.342607752305,12632.8125,0.018607322,0.26708984375,4406.25,11,4.415342607752305
0.128,0.013889856,7492.773665020456,4291.239696843489,12328.125,0.013305848,0.2763671875,4429.6875,12,4.291239696843489
0.13866666666666666,0.014341433,7374.813633526221,4141.478894252295,11976.5625,0.009789776,0.28759765625,3914.0625,13,4.141478894252295
0.14933333333333335,0.014397532,7455.373140798875,4089.201446604222,11929.6875,0.008818472,0.28564453125,3914.0625,14,4.089201446604222
0.16,0.013529559,7340.930701629861,4087.6851176655914,12023.4375,0.009105891,0.29052734375,4148.4375,15,4.0876851176655915
0.17066666666666666,0.012395838,7259.211449652339,4104.650599685529,12093.75,0.009114787,0.287109375,4265.625,16,4.104650599685529
0.18133333333333335,0.0114774145,7393.313980372877,4201.66215538137,12281.25,0.012171424,0.28955078125,4265.625,17,4.20166215538137
0.192,0.010678615,7564.033428684754,4142.83161034076,12140.625,0.012115925,0.2939453125,4335.9375,18,4.142831610340759
0.20266666666666666,0.009730944,7570.842286864969,4217.362015505777,12281.25,0.011607792,0.2890625,4359.375,19,4.217362015505777
0.21333333333333335,0.0087672,7370.910248726152,4262.523820523995,12328.125,0.011796037,0.29248046875,4359.375,20,4.262523820523994
0.224,0.0071255476,7259.576726010354,4410.012151227676,12281.25,0.014701934,0.27685546875,4429.6875,21,4.410012151227677
0.23466666666666666,0.005240078,7218.958008755035,4537.135040267268,12257.8125,0.019440906,0.25244140625,3632.8125,22,4.537135040267268
0.24533333333333332,0.0042323666,6982.254198755549,4562.064763323085,12257.8125,0.016919065,0.23681640625,4171.875,23,4.562064763323085
0.256,0.002905459,6449.396147217611,4515.830034114587,11929.6875,0.01526347,0.2001953125,4171.875,24,4.515830034114587
0.26666666666666666,0.0012450767,5560.180403592809,4361.109940491169,11156.25,0.018050168,0.18505859375,4171.875,25,4.361109940491169
0.2773333333333333,0.004636527,5577.7013304290485,4107.235385056701,10898.4375,0.009588504,0.1767578125,3750.0,26,4.1072353850567005
0.288,0.0120322425,5787.7690706307185,4107.231719757848,11085.9375,0.0064500356,0.1787109375,3726.5625,27,4.107231719757848
0.2986666666666667,0.017038785,6086.426376221168,4227.089622843173,11320.3125,0.006571368,0.18994140625,3726.5625,28,4.227089622843173
0.30933333333333335,0.019553237,6001.245309143345,4386.184366636902,11484.375,0.007595104,0.19580078125,3726.5625,29,4.386184366636902
0.32,0.019692983,6153.74822817848,4420.027698415657,11718.75,0.008239891,0.20068359375,3773.4375,30,4.420027698415657
0.33066666666666666,0.019024748,6585.73354029106,4484.111253037594,11953.125,0.008727617,0.2158203125,3679.6875,31,4.484111253037594
0.3413333333333333,0.01716155,6718.646704902445,4587.092032903401,12023.4375,0.009577072,0.21826171875,3656.25,32,4.587092032903401
